Code,Base Model,L1 Model,L2 Model,Elastic Net Model
bias,62.48583793019735,63.6437893620868,88.15544316581212,60.26489231615321
4,1.0,0.0,0.36769542477096373,0.0
33,3.7307980876519666,2.8089288871270974,2.3323868155982415,2.662179143318789
34,4.795038879667967,3.8928197948352374,3.075683368522001,3.6628815357592655
35,18.290366590013903,17.711496408863738,12.473251497779437,17.353801429523614
36,1.0,0.0,0.36769542477096373,0.0
48,20.243324962029334,19.576274709676408,13.222733861679664,17.575888091532057
56,32.66349288305495,32.29637567708388,22.425608985419835,29.849856506448745
57,15.637426390777424,14.982171950435358,10.49904831969075,14.630924792282478
59,30.70521613028472,30.370190455895177,20.6326996073832,30.053566201820644
61,28.315714314981204,27.837670907558028,18.34623724101814,26.387588671981902
63,37.99823910254566,37.917407474639816,26.984578885973303,38.32883077709025
65,1.0,0.0,0.36769542477096373,0.0
66,1.0,0.0,0.36769542477096373,0.0
67,1.0,0.0,0.36769542477096373,0.0
68,1.0,0.0,0.36769542477096373,0.0
69,1.0,0.0,0.36769542477096373,0.0
70,1.0,0.0,0.36769542477096373,0.0
71,1.0,0.0,0.36769542477096373,0.0
72,1.0,0.0,0.36769542477096373,0.0
